date,open,high,low,close,volume
2025-12-12,4282.92,4353.51,4257.52,4300.52,425430.0
2025-12-15,4303.28,4350.32,4285.37,4305.14,376816.0
2025-12-16,4307.35,4335.14,4271.47,4302.32,377841.0
2025-12-17,4303.62,4348.94,4302.49,4338.27,377790.0
2025-12-18,4339.13,4374.62,4308.62,4332.79,400471.0
2025-12-19,4335.68,4356.58,4309.25,4338.5,306005.0
2025-12-22,4340.79,4448.95,4340.22,4443.9,280042.0
2025-12-23,4449.43,4499.94,4430.47,4484.84,374750.0
2025-12-24,4488.63,4525.96,4448.28,4479.55,352811.0
2025-12-26,4488.35,4549.93,4483.4,4531.53,412789.0
2025-12-29,4541.51,4546.34,4301.68,4331.96,484703.0
2025-12-30,4340.44,4404.4,4323.23,4338.65,464755.0
2025-12-31,4340.89,4373.59,4274.05,4319.01,437303.0
2026-01-02,4327.51,4402.34,4310.02,4332.95,379852.0
2026-01-05,4356.27,4455.8,4349.72,4449.04,423740.0
2026-01-06,4454.16,4497.33,4427.98,4494.81,393311.0
2026-01-07,4498.55,4500.65,4423.5,4456.51,407331.0
2026-01-08,4461.95,4479.56,4407.84,4477.48,434172.0
2026-01-09,4477.33,4517.12,4452.94,4509.99,363761.0
2026-01-12,4521.53,4630.26,4521.29,4597.55,432271.0
2026-01-13,4596.79,4634.72,4569.61,4586.59,390780.0
2026-01-14,4591.72,4642.94,4591.34,4626.6,436925.0
2026-01-15,4622.94,4625.05,4581.2,4615.99,440128.0
2026-01-16,4618.92,4620.99,4536.77,4595.62,384080.0
2026-01-19,4648.79,4690.88,4646.6,4670.85,251457.0
2026-01-20,4668.71,4766.43,4659.52,4763.63,365050.0
2026-01-21,4762.42,4888.61,4755.8,4831.32,444432.0
2026-01-22,4815.74,4940.71,4772.54,4936.41,372023.0
2026-01-23,4952.3,4989.97,4899.75,4986.4,343483.0
2026-01-26,5013.39,5111.44,4990.09,5008.21,545003.0
2026-01-27,5034.23,5190.41,5013.88,5181.19,493924.0
2026-01-28,5181.99,5419.3,5157.46,5417.69,536525.0
2026-01-29,5441.04,5598.18,5100.14,5371.07,658423.0
2026-01-30,5419.88,5451.01,4680.45,4882.73,732130.0
2026-02-02,4766.19,4885.02,4402.97,4661.03,729338.0
2026-02-03,4667.68,4993.81,4666.87,4947.08,593796.0
2026-02-04,4947.73,5091.82,4851.45,4964.96,533848.0
2026-02-05,4976.8,5023.86,4759.7,4779.67,695289.0
2026-02-06,4794.22,4971.28,4655.06,4965.9,521710.0
2026-02-09,4985.9,5086.53,4965.13,5058.45,433114.0
2026-02-10,5059.06,5078.68,4987.79,5025.34,408896.0
2026-02-11,5025.78,5119.55,5019.07,5084.57,382080.0
2026-02-12,5085.2,5099.89,4878.49,4921.85,396551.0
2026-02-13,4927.74,5046.28,4887.93,5043.13,371186.0
2026-02-16,5049.54,5049.54,4965.42,4993.56,190687.0
2026-02-17,4993.12,5000.94,4841.36,4877.47,353872.0
2026-02-18,4880.22,5011.0,4854.06,4977.35,268441.0
2026-02-19,4975.49,5022.33,4958.28,4995.91,267462.0
2026-02-20,4995.53,5107.04,4981.66,5103.96,312180.0
2026-02-23,5103.33,5238.01,5102.86,5227.54,352268.0
2026-02-24,5227.58,5249.79,5093.58,5143.83,365335.0
2026-02-25,5141.71,5217.74,5120.13,5164.91,313170.0
2026-02-26,5162.68,5205.53,5130.8,5185.17,380998.0
2026-02-27,5185.09,5281.15,5167.0,5280.2,401393.0
2026-03-02,5298.19,5419.27,5260.65,5322.12,611736.0
2026-03-03,5325.14,5379.94,4996.01,5088.37,753044.0
2026-03-04,5105.05,5206.24,5084.65,5141.32,598132.0
2026-03-05,5140.14,5194.99,5050.82,5081.05,576372.0
2026-03-06,5085.26,5174.62,5062.68,5171.2,526609.0
2026-03-09,5182.21,5198.46,5014.92,5136.8,624527.0
2026-03-10,5139.64,5238.72,5117.38,5192.92,457638.0
2026-03-11,5190.49,5223.47,5149.31,5175.98,383575.0
2026-03-12,5174.09,5191.71,5055.07,5079.08,438580.0
2026-03-13,5080.51,5128.6,5009.74,5021.47,441179.0
2026-03-16,5003.3,5038.02,4967.41,5006.31,481246.0
2026-03-17,5007.3,5044.63,4973.59,5005.65,365965.0
2026-03-18,5005.7,5016.4,4806.92,4818.73,447017.0
2026-03-19,4818.81,4867.16,4502.52,4650.36,722474.0
2026-03-20,4650.24,4736.17,4477.38,4497.52,653960.0
2026-03-23,4474.09,4536.52,4098.77,4406.35,1019200.0
2026-03-24,4413.91,4484.37,4305.63,4474.22,869776.0
2026-03-25,4471.62,4602.32,4455.93,4506.57,600940.0
