report_date_as_yyyy_mm_dd,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,report_date
2020-02-18T00:00:00.000,715317,408349,54700,175519,561131,2020-02-18
2020-02-25T00:00:00.000,732917,389339,53474,176619,552240,2020-02-25
2020-03-03T00:00:00.000,691985,366173,46440,178134,529145,2020-03-03
2020-03-10T00:00:00.000,633470,336290,36759,182948,511252,2020-03-10
2020-03-17T00:00:00.000,573925,317405,35489,154761,456470,2020-03-17
2020-03-24T00:00:00.000,547334,317928,29562,135711,447534,2020-03-24
2020-03-31T00:00:00.000,495652,287529,28680,128083,412042,2020-03-31
2020-04-07T00:00:00.000,480050,279880,30938,118885,394496,2020-04-07
2020-04-14T00:00:00.000,489965,286617,34116,116839,397247,2020-04-14
2020-04-21T00:00:00.000,493158,282263,32692,116808,396881,2020-04-21
2020-04-28T00:00:00.000,500816,287382,24653,114902,408531,2020-04-28
2020-05-05T00:00:00.000,490343,275571,25567,120045,401681,2020-05-05
2020-05-12T00:00:00.000,496739,277771,34943,126023,404556,2020-05-12
2020-05-19T00:00:00.000,528205,295394,43606,133715,423889,2020-05-19
2020-05-26T00:00:00.000,519374,288148,50234,131977,406299,2020-05-26
2020-06-02T00:00:00.000,475745,272196,53162,108654,365277,2020-06-02
2020-06-09T00:00:00.000,475661,263972,55359,110115,353572,2020-06-09
2020-06-16T00:00:00.000,489563,277395,53047,110922,368942,2020-06-16
2020-06-23T00:00:00.000,532101,308459,56502,114410,401702,2020-06-23
2020-06-30T00:00:00.000,561628,328942,62272,116697,418160,2020-06-30
2020-07-07T00:00:00.000,572776,337030,69672,118424,421016,2020-07-07
2020-07-14T00:00:00.000,580175,330205,67777,125909,427927,2020-07-14
2020-07-21T00:00:00.000,603138,334237,67801,129690,433549,2020-07-21
2020-07-28T00:00:00.000,598629,312588,75787,139803,418180,2020-07-28
2020-08-04T00:00:00.000,561837,321847,83101,119109,395454,2020-08-04
2020-08-11T00:00:00.000,553345,306867,82814,123125,391456,2020-08-11
2020-08-18T00:00:00.000,544010,302369,78851,123511,391282,2020-08-18
2020-08-25T00:00:00.000,549282,301559,80521,128266,394711,2020-08-25
2020-09-01T00:00:00.000,547704,306118,75322,121254,398660,2020-09-01
2020-09-08T00:00:00.000,557457,313173,76700,122050,403090,2020-09-08
2020-09-15T00:00:00.000,578925,324512,83535,126290,411476,2020-09-15
2020-09-22T00:00:00.000,575877,309015,89955,137900,404308,2020-09-22
2020-09-29T00:00:00.000,562396,316106,72447,133657,419835,2020-09-29
2020-10-06T00:00:00.000,555555,320922,72335,124401,412869,2020-10-06
2020-10-13T00:00:00.000,553197,326986,86315,116429,401084,2020-10-13
2020-10-20T00:00:00.000,562993,340206,90602,116918,411042,2020-10-20
2020-10-27T00:00:00.000,560900,326063,77429,114210,410672,2020-10-27
2020-11-03T00:00:00.000,544774,321798,78889,108679,398017,2020-11-03
2020-11-10T00:00:00.000,547449,318516,78780,111142,394565,2020-11-10
2020-11-17T00:00:00.000,557533,329698,78428,106681,401253,2020-11-17
2020-11-24T00:00:00.000,555253,320324,76422,108625,393454,2020-11-24
2020-12-01T00:00:00.000,538042,324344,64030,110108,403371,2020-12-01
2020-12-08T00:00:00.000,549520,338271,69051,104016,404739,2020-12-08
2020-12-15T00:00:00.000,550366,340610,69026,101736,408078,2020-12-15
2020-12-21T00:00:00.000,560769,349870,71674,99303,414402,2020-12-21
2020-12-29T00:00:00.000,556414,341812,72940,101283,408537,2020-12-29
2021-01-05T00:00:00.000,568888,349946,70628,97405,418328,2021-01-05
2021-01-12T00:00:00.000,555538,313217,66990,105980,396281,2021-01-12
2021-01-19T00:00:00.000,541330,307507,60869,99444,386911,2021-01-19
2021-01-26T00:00:00.000,534574,313532,55986,94890,393838,2021-01-26
2021-02-02T00:00:00.000,520011,314352,57226,90132,388089,2021-02-02
2021-02-09T00:00:00.000,506741,309326,57919,87800,379995,2021-02-09
2021-02-16T00:00:00.000,503016,303583,68614,91152,366230,2021-02-16
2021-02-23T00:00:00.000,481125,284081,68348,92086,343815,2021-02-23
